ID,timestamp,timestamp_string,nb_imp,price,win,seconds_notif
1,1594267200.0,07-09-2020 06:00:00,2,2,True,381
2,1594267201.0,07-09-2020 06:00:01,1,1,True,800
3,1594267202.0,07-09-2020 06:00:02,0,0,True,578
4,1594267204.0,07-09-2020 06:00:04,0,0,True,583
5,1594267206.0,07-09-2020 06:00:06,0,0,True,625
6,1594267212.0,07-09-2020 06:00:12,4,4,True,788
7,1594267212.0,07-09-2020 06:00:12,3,3,False,784
8,1594267214.0,07-09-2020 06:00:14,9,9,True,703
9,1594267215.0,07-09-2020 06:00:15,5,5,True,349
10,1594267216.0,07-09-2020 06:00:16,1,1,True,591
11,1594267219.0,07-09-2020 06:00:19,6,6,True,354
12,1594267220.0,07-09-2020 06:00:20,1,1,True,109
13,1594267221.0,07-09-2020 06:00:21,6,6,True,767
14,1594267224.0,07-09-2020 06:00:24,4,4,True,82
15,1594267225.0,07-09-2020 06:00:25,6,6,True,737
16,1594267229.0,07-09-2020 06:00:29,6,6,True,870
17,1594267229.0,07-09-2020 06:00:29,1,1,True,526
18,1594267230.0,07-09-2020 06:00:30,12,12,True,897
19,1594267230.0,07-09-2020 06:00:30,1,1,True,738
20,1594267231.0,07-09-2020 06:00:31,1,1,True,667
21,1594267231.0,07-09-2020 06:00:31,8,8,True,402
22,1594267232.0,07-09-2020 06:00:32,0,0,False,326
23,1594267233.0,07-09-2020 06:00:33,2,2,True,891
24,1594267236.0,07-09-2020 06:00:36,5,5,True,410
25,1594267238.0,07-09-2020 06:00:38,3,3,True,168
26,1594267238.0,07-09-2020 06:00:38,1,1,True,652
27,1594267238.0,07-09-2020 06:00:38,5,5,True,596
28,1594267240.0,07-09-2020 06:00:40,4,4,True,190
29,1594267240.0,07-09-2020 06:00:40,4,4,True,270
30,1594267241.0,07-09-2020 06:00:41,2,2,True,336
31,1594267241.0,07-09-2020 06:00:41,2,2,True,290
32,1594267243.0,07-09-2020 06:00:43,1,1,True,335
33,1594267245.0,07-09-2020 06:00:45,5,5,True,738
34,1594267245.0,07-09-2020 06:00:45,1,1,True,13
35,1594267247.0,07-09-2020 06:00:47,0,0,True,361
36,1594267249.0,07-09-2020 06:00:49,4,4,True,528
37,1594267250.0,07-09-2020 06:00:50,2,2,True,831
38,1594267251.0,07-09-2020 06:00:51,8,8,True,325
39,1594267251.0,07-09-2020 06:00:51,1,1,True,8
40,1594267253.0,07-09-2020 06:00:53,8,8,True,132
41,1594267256.0,07-09-2020 06:00:56,1,1,True,847
42,1594267256.0,07-09-2020 06:00:56,2,2,True,474
43,1594267258.0,07-09-2020 06:00:58,7,7,True,581
