ID,weekday,timestamp,timestamp_string,nb_imp,price,win,seconds_notif
1,4,1594353600.0,07-10-2020 06:00:00,1,1,True,278
2,4,1594353601.0,07-10-2020 06:00:01,1,1,True,274
3,4,1594353602.0,07-10-2020 06:00:02,2,2,True,512
4,4,1594353603.0,07-10-2020 06:00:03,3,3,True,395
5,4,1594353604.0,07-10-2020 06:00:04,9,9,True,89
6,4,1594353607.0,07-10-2020 06:00:07,12,12,True,823
7,4,1594353607.0,07-10-2020 06:00:07,3,3,True,102
8,4,1594353608.0,07-10-2020 06:00:08,4,4,True,807
9,4,1594353609.0,07-10-2020 06:00:09,3,3,True,851
10,4,1594353610.0,07-10-2020 06:00:10,5,5,True,885
11,4,1594353613.0,07-10-2020 06:00:13,5,5,True,892
12,4,1594353613.0,07-10-2020 06:00:13,11,11,True,404
13,4,1594353614.0,07-10-2020 06:00:14,6,6,True,516
14,4,1594353618.0,07-10-2020 06:00:18,0,0,True,183
15,4,1594353619.0,07-10-2020 06:00:19,8,8,False,860
16,4,1594353620.0,07-10-2020 06:00:20,4,4,True,77
17,4,1594353620.0,07-10-2020 06:00:20,5,5,True,680
18,4,1594353623.0,07-10-2020 06:00:23,6,6,True,191
19,4,1594353624.0,07-10-2020 06:00:24,2,2,True,770
20,4,1594353625.0,07-10-2020 06:00:25,3,3,True,219
21,4,1594353626.0,07-10-2020 06:00:26,1,1,True,472
22,4,1594353628.0,07-10-2020 06:00:28,3,3,True,112
23,4,1594353628.0,07-10-2020 06:00:28,9,9,True,487
24,4,1594353630.0,07-10-2020 06:00:30,4,4,True,497
25,4,1594353631.0,07-10-2020 06:00:31,5,5,True,589
26,4,1594353634.0,07-10-2020 06:00:34,8,8,True,633
27,4,1594353636.0,07-10-2020 06:00:36,6,6,True,115
28,4,1594353637.0,07-10-2020 06:00:37,1,1,True,163
29,4,1594353638.0,07-10-2020 06:00:38,2,2,True,199
30,4,1594353640.0,07-10-2020 06:00:40,0,0,True,345
31,4,1594353640.0,07-10-2020 06:00:40,1,1,True,681
32,4,1594353642.0,07-10-2020 06:00:42,5,5,True,793
33,4,1594353643.0,07-10-2020 06:00:43,3,3,True,624
34,4,1594353644.0,07-10-2020 06:00:44,1,1,True,808
35,4,1594353646.0,07-10-2020 06:00:46,1,1,True,388
36,4,1594353646.0,07-10-2020 06:00:46,6,6,True,4
37,4,1594353647.0,07-10-2020 06:00:47,1,1,True,384
38,4,1594353647.0,07-10-2020 06:00:47,1,1,True,69
39,4,1594353647.0,07-10-2020 06:00:47,3,3,True,845
40,4,1594353648.0,07-10-2020 06:00:48,0,0,True,134
41,4,1594353648.0,07-10-2020 06:00:48,4,4,True,752
42,4,1594353648.0,07-10-2020 06:00:48,4,4,True,597
43,4,1594353648.0,07-10-2020 06:00:48,10,10,True,860
44,4,1594353649.0,07-10-2020 06:00:49,2,2,True,789
45,4,1594353651.0,07-10-2020 06:00:51,8,8,True,179
46,4,1594353653.0,07-10-2020 06:00:53,2,2,True,315
47,4,1594353655.0,07-10-2020 06:00:55,2,2,True,211
48,4,1594353656.0,07-10-2020 06:00:56,1,1,True,561
49,4,1594353657.0,07-10-2020 06:00:57,6,6,True,683
50,4,1594353658.0,07-10-2020 06:00:58,5,5,True,866
51,4,1594353660.0,07-10-2020 06:01:00,2,2,True,724
52,4,1594353662.0,07-10-2020 06:01:02,1,1,True,718
53,4,1594353663.0,07-10-2020 06:01:03,1,1,True,297
54,4,1594353664.0,07-10-2020 06:01:04,0,0,True,405
55,4,1594353664.0,07-10-2020 06:01:04,1,1,True,84
56,4,1594353665.0,07-10-2020 06:01:05,4,4,True,728
57,4,1594353665.0,07-10-2020 06:01:05,1,1,True,188
58,4,1594353665.0,07-10-2020 06:01:05,9,9,True,665
59,4,1594353665.0,07-10-2020 06:01:05,5,5,True,623
60,4,1594353666.0,07-10-2020 06:01:06,0,0,True,641
61,4,1594353667.0,07-10-2020 06:01:07,2,2,True,850
62,4,1594353668.0,07-10-2020 06:01:08,4,4,True,864
63,4,1594353668.0,07-10-2020 06:01:08,2,2,True,827
64,4,1594353670.0,07-10-2020 06:01:10,2,2,True,794
65,4,1594353672.0,07-10-2020 06:01:12,0,0,True,799
66,4,1594353674.0,07-10-2020 06:01:14,5,5,True,415
67,4,1594353675.0,07-10-2020 06:01:15,2,2,True,868
68,4,1594353675.0,07-10-2020 06:01:15,5,5,True,706
69,4,1594353676.0,07-10-2020 06:01:16,8,8,True,221
70,4,1594353676.0,07-10-2020 06:01:16,3,3,True,871
71,4,1594353678.0,07-10-2020 06:01:18,6,6,True,789
72,4,1594353679.0,07-10-2020 06:01:19,6,6,True,44
73,4,1594353679.0,07-10-2020 06:01:19,8,8,True,525
74,4,1594353680.0,07-10-2020 06:01:20,8,8,True,799
75,4,1594353681.0,07-10-2020 06:01:21,1,1,True,827
76,4,1594353683.0,07-10-2020 06:01:23,5,5,True,422
77,4,1594353686.0,07-10-2020 06:01:26,0,0,True,792
78,4,1594353688.0,07-10-2020 06:01:28,10,10,True,363
79,4,1594353690.0,07-10-2020 06:01:30,8,8,True,842
80,4,1594353691.0,07-10-2020 06:01:31,4,4,True,63
81,4,1594353691.0,07-10-2020 06:01:31,3,3,True,202
82,4,1594353693.0,07-10-2020 06:01:33,0,0,True,69
83,4,1594353693.0,07-10-2020 06:01:33,1,1,False,692
84,4,1594353694.0,07-10-2020 06:01:34,1,1,True,896
85,4,1594353694.0,07-10-2020 06:01:34,3,3,True,452
86,4,1594353694.0,07-10-2020 06:01:34,4,4,True,517
87,4,1594353695.0,07-10-2020 06:01:35,8,8,True,390
88,4,1594353696.0,07-10-2020 06:01:36,6,6,True,678
89,4,1594353698.0,07-10-2020 06:01:38,1,1,True,230
90,4,1594353699.0,07-10-2020 06:01:39,0,0,True,508
91,4,1594353700.0,07-10-2020 06:01:40,2,2,True,822
92,4,1594353701.0,07-10-2020 06:01:41,0,0,True,722
93,4,1594353702.0,07-10-2020 06:01:42,3,3,False,722
94,4,1594353703.0,07-10-2020 06:01:43,3,3,True,860
95,4,1594353703.0,07-10-2020 06:01:43,1,1,True,413
96,4,1594353704.0,07-10-2020 06:01:44,6,6,True,725
97,4,1594353704.0,07-10-2020 06:01:44,1,1,True,330
98,4,1594353706.0,07-10-2020 06:01:46,1,1,False,800
99,4,1594353708.0,07-10-2020 06:01:48,0,0,True,170
100,4,1594353708.0,07-10-2020 06:01:48,2,2,True,849
101,4,1594353709.0,07-10-2020 06:01:49,2,2,True,488
102,4,1594353711.0,07-10-2020 06:01:51,2,2,True,467
103,4,1594353711.0,07-10-2020 06:01:51,3,3,True,106
104,4,1594353713.0,07-10-2020 06:01:53,3,3,True,531
105,4,1594353714.0,07-10-2020 06:01:54,8,8,True,282
106,4,1594353715.0,07-10-2020 06:01:55,2,2,True,64
